"source_id","source_title","publisher","publication_date","url","accessed_date","metric_or_use","limitation"
"1","Statistics South Africa, *Inside the Numbers: SA Population Trends for 2025*, 28 July 2025","Statistics South Africa","28 July 2025","https://www.statssa.gov.za/?p=18613","2026-08-18","Population, disease burden, access, affordability, George catchment and digital reach","Population, prevalence, income and access are demand proxies; they do not measure peptide eligibility, purchases, reimbursement or local conversion. Source note: Accessed 18 August 2026."
"2","NCD Risk Factor Collaboration, *National Adult Body-Mass Index—country-specific age-standardised data*, 2026","NCD Risk Factor Collaboration","2026","https://www.ncdrisc.org/data-downloads-adiposity.html","2026-08-18","Population, disease burden, access, affordability, George catchment and digital reach","Population, prevalence, income and access are demand proxies; they do not measure peptide eligibility, purchases, reimbursement or local conversion. Source note: Accessed 18 August 2026."
"3","International Diabetes Federation, *South Africa: Diabetes in South Africa (2024)*","International Diabetes Federation","2024","https://idf.org/our-network/regions-and-members/africa/members/south-africa/","2026-08-18","Population, disease burden, access, affordability, George catchment and digital reach","Population, prevalence, income and access are demand proxies; they do not measure peptide eligibility, purchases, reimbursement or local conversion. Source note: Accessed 18 August 2026."
"4","Statistics South Africa / Government of South Africa, *StatsSA releases General Household Survey 2024*, 27 May 2025","Statistics South Africa / Government of South Africa","27 May 2025","https://www.gov.za/news/media-statements/statssa-releases-general-household-survey-2024-27-may-2025","2026-08-18","Population, disease burden, access, affordability, George catchment and digital reach","Population, prevalence, income and access are demand proxies; they do not measure peptide eligibility, purchases, reimbursement or local conversion. Source note: Accessed 18 August 2026."
"5","Council for Medical Schemes, *The 2024 CMS Industry Report is now available!*, 4 December 2025","Council for Medical Schemes","4 December 2025","https://www.medicalschemes.co.za/the-2024-cms-industry-report-is-now-available/","2026-08-18","Population, disease burden, access, affordability, George catchment and digital reach","Population, prevalence, income and access are demand proxies; they do not measure peptide eligibility, purchases, reimbursement or local conversion. Source note: Accessed 18 August 2026."
"6","Statistics South Africa, *Income & Expenditure Survey 2022/2023*, 28 January 2025","Statistics South Africa","28 January 2025","https://www.statssa.gov.za/?p=17995","2026-08-18","Population, disease burden, access, affordability, George catchment and digital reach","Population, prevalence, income and access are demand proxies; they do not measure peptide eligibility, purchases, reimbursement or local conversion. Source note: Accessed 18 August 2026."
"7","Statistics South Africa, *Quarterly Labour Force Survey—Q2: 2026 media release*, 11 August 2026","Statistics South Africa","11 August 2026","https://www.statssa.gov.za/?p=19804","2026-08-18","Population, disease burden, access, affordability, George catchment and digital reach","Population, prevalence, income and access are demand proxies; they do not measure peptide eligibility, purchases, reimbursement or local conversion. Source note: Accessed 18 August 2026."
"8","South African Health Products Regulatory Authority, *Peptide Products—Public Information*, 2026","South African Health Products Regulatory Authority","2026","https://www.sahpra.org.za/peptide-products-public-information/","2026-08-18","Regulatory, professional, privacy, ethics, clinical-pathway and anti-doping boundaries","Status is activity- and product-specific and can change; live professional and regulatory verification remains required before launch. Source note: Accessed 18 August 2026."
"9","South African Health Products Regulatory Authority and South African Pharmacy Council, *Crack Down on Unlawful Manufacturing of Unregistered GLP-1/GIP Medicines*, 23 May 2026","SAHPRA / SAPC","23 May 2026","https://www.sahpra.org.za/sahpra-and-the-sapc-crack-down-on-unlawful-manufacturing-of-unregistered-glp-1-medicines/","2026-08-18","Regulatory, professional, privacy, ethics, clinical-pathway and anti-doping boundaries","Status is activity- and product-specific and can change; live professional and regulatory verification remains required before launch. Source note: Accessed 18 August 2026."
"10","National Department of Health, Statistics South Africa, SAMRC and ICF, *South Africa Demographic and Health Survey 2016*, published 2019","National Department of Health / Stats SA / SAMRC / ICF","2016","https://extranet.who.int/fctcapps/sites/default/files/2023-04/south_africa_2018_annex-1_SADHS_2016.pdf","2026-08-18","Population, disease burden, access, affordability, George catchment and digital reach","Population, prevalence, income and access are demand proxies; they do not measure peptide eligibility, purchases, reimbursement or local conversion. Source note: Accessed 18 August 2026."
"11","Google Trends, *South Africa comparison: semaglutide, Ozempic, peptides, weight loss and Botox*, 18 August 2021–18 August 2026","Google Trends","18 August 2021","https://trends.google.com/trends/explore?date=2021-08-18%202026-08-18&geo=ZA&q=semaglutide,Ozempic,peptides,weight%20loss,Botox","2026-08-18","Digital discovery, normalized search behaviour and online-pharmacy verification","Google Trends is a normalized sampled index, while website studies are not market-size, sales or purchase-intent measures. Source note: Retrieved 18 August 2026; dynamic sampled index."
"12","Google, *FAQ about Google Trends data*, undated","Google","Current/undated","https://support.google.com/trends/answer/4365533?hl=en","2026-08-18","Digital discovery, normalized search behaviour and online-pharmacy verification","Google Trends is a normalized sampled index, while website studies are not market-size, sales or purchase-intent measures. Source note: Accessed 18 August 2026."
"13","World Bank Data / UN Population Division, *Urban population (% of total population)—South Africa*, data update 13 July 2026","World Bank / UN Population Division","13 July 2026","https://api.worldbank.org/v2/country/ZAF/indicator/SP.URB.TOTL.IN.ZS?format=json&per_page=10","2026-08-18","Population, disease burden, access, affordability, George catchment and digital reach","Population, prevalence, income and access are demand proxies; they do not measure peptide eligibility, purchases, reimbursement or local conversion. Source note: Accessed 18 August 2026."
"14","Human Sciences Research Council, *Almost 50% of adult South Africans are overweight or obese*, 18 March 2024","Human Sciences Research Council","18 March 2024","https://hsrc.ac.za/news/research-outputs/almost-50-of-adult-south-africans-are-overweight-or-obese-poverty-and-poor-nutrition-are-largely-to-blame/","2026-08-18","Population, disease burden, access, affordability, George catchment and digital reach","Population, prevalence, income and access are demand proxies; they do not measure peptide eligibility, purchases, reimbursement or local conversion. Source note: Accessed 18 August 2026."
"15","Statistics South Africa, *General Household Survey 2024*, P0318, 2025","Statistics South Africa","2024","https://www.statssa.gov.za/publications/P0318/P03182024.pdf","2026-08-18","Population, disease burden, access, affordability, George catchment and digital reach","Population, prevalence, income and access are demand proxies; they do not measure peptide eligibility, purchases, reimbursement or local conversion. Source note: Accessed 18 August 2026."
